Date;Euro_SEK
2019-01-02;10.214
2019-01-03;10.280
2019-01-04;10.246
2019-01-07;10.223
2019-01-08;10.185
2019-01-09;10.226
2019-01-10;10.230
2019-01-11;10.233
2019-01-14;10.249
2019-01-15;10.240
2019-01-16;10.248
2019-01-17;10.285
2019-01-18;10.251
2019-01-21;10.251
2019-01-22;10.253
2019-01-23;10.245
2019-01-24;10.284
2019-01-25;10.298
2019-01-28;10.350
2019-01-29;10.350
2019-01-30;10.384
2019-01-31;10.373
2019-02-01;10.387
2019-02-04;10.411
2019-02-05;10.399
2019-02-06;10.425
2019-02-07;10.473
2019-02-08;10.497
2019-02-11;10.485
2019-02-12;10.472
2019-02-13;10.408
2019-02-14;10.477
2019-02-15;10.481
2019-02-18;10.468
2019-02-19;10.600
2019-02-20;10.570
2019-02-21;10.618
2019-02-22;10.599
2019-02-25;10.579
2019-02-26;10.585
2019-02-27;10.544
2019-02-28;10.484
2019-03-01;10.500
2019-03-04;10.554
2019-03-05;10.552
2019-03-06;10.537
2019-03-07;10.562
2019-03-08;10.631
2019-03-11;10.580
2019-03-12;10.571
2019-03-13;10.554
2019-03-14;10.537
2019-03-15;10.496
2019-03-18;10.464
2019-03-19;10.448
2019-03-20;10.431
2019-03-21;10.428
2019-03-22;10.472
2019-03-25;10.445
2019-03-26;10.426
2019-03-27;10.429
2019-03-28;10.476
2019-03-29;10.398
2019-04-01;10.420
2019-04-02;10.441
2019-04-03;10.430
2019-04-04;10.407
2019-04-05;10.426
2019-04-08;10.432
2019-04-09;10.425
2019-04-10;10.440
2019-04-11;10.437
2019-04-12;10.478
2019-04-15;10.460
2019-04-16;10.463
2019-04-17;10.440
2019-04-18;10.476
2019-04-23;10.507
2019-04-24;10.501
2019-04-25;10.629
2019-04-26;10.573
2019-04-29;10.611
2019-04-30;10.635
2019-05-02;10.685
2019-05-03;10.704
2019-05-06;10.725
2019-05-07;10.714
2019-05-08;10.749
2019-05-09;10.797
2019-05-10;10.810
2019-05-13;10.832
2019-05-14;10.779
2019-05-15;10.768
2019-05-16;10.759
2019-05-17;10.766
2019-05-20;10.766
2019-05-21;10.774
2019-05-22;10.760
2019-05-23;10.737
2019-05-24;10.709
2019-05-27;10.714
2019-05-28;10.686
2019-05-29;10.706
2019-05-30;10.632
2019-05-31;10.639
2019-06-03;10.618
2019-06-04;10.626
2019-06-05;10.625
2019-06-06;10.617
2019-06-07;10.656
2019-06-10;10.645
2019-06-11;10.682
2019-06-12;10.680
2019-06-13;10.696
2019-06-14;10.639
2019-06-17;10.649
2019-06-18;10.641
2019-06-19;10.686
2019-06-20;10.634
2019-06-21;10.630
2019-06-24;10.607
2019-06-25;10.532
2019-06-26;10.543
2019-06-27;10.548
2019-06-28;10.563
2019-07-01;10.545
2019-07-02;10.556
2019-07-03;10.515
2019-07-04;10.520
2019-07-05;10.557
2019-07-08;10.597
2019-07-09;10.633
2019-07-10;10.609
2019-07-11;10.580
2019-07-12;10.551
2019-07-15;10.556
2019-07-16;10.540
2019-07-17;10.516
2019-07-18;10.504
2019-07-19;10.519
2019-07-22;10.544
2019-07-23;10.569
2019-07-24;10.529
2019-07-25;10.494
2019-07-26;10.558
2019-07-29;10.577
2019-07-30;10.645
2019-07-31;10.664
2019-08-01;10.686
2019-08-02;10.722
2019-08-05;10.760
2019-08-06;10.726
2019-08-07;10.767
2019-08-08;10.753
2019-08-09;10.697
2019-08-12;10.731
2019-08-13;10.708
2019-08-14;10.731
2019-08-15;10.730
2019-08-16;10.712
2019-08-19;10.726
2019-08-20;10.765
2019-08-21;10.698
2019-08-22;10.718
2019-08-23;10.716
2019-08-26;10.751
2019-08-27;10.705
2019-08-28;10.754
2019-08-29;10.779
2019-08-30;10.839
2019-09-02;10.747
2019-09-03;10.812
2019-09-04;10.753
2019-09-05;10.682
2019-09-06;10.635
2019-09-09;10.659
2019-09-10;10.744
2019-09-11;10.656
2019-09-12;10.631
2019-09-13;10.648
2019-09-16;10.670
2019-09-17;10.699
2019-09-18;10.729
2019-09-19;10.722
2019-09-20;10.711
2019-09-23;10.714
2019-09-24;10.676
2019-09-25;10.682
2019-09-26;10.659
2019-09-27;10.701
2019-09-30;10.695
2019-10-01;10.804
2019-10-02;10.811
2019-10-03;10.833
2019-10-04;10.810
2019-10-07;10.891
2019-10-08;10.870
2019-10-09;10.917
2019-10-10;10.841
2019-10-11;10.844
2019-10-14;10.852
2019-10-15;10.822
2019-10-16;10.835
2019-10-17;10.810
2019-10-18;10.774
2019-10-21;10.731
2019-10-22;10.730
2019-10-23;10.738
2019-10-24;10.696
2019-10-25;10.744
2019-10-28;10.750
2019-10-29;10.792
2019-10-30;10.801
2019-10-31;10.749
2019-11-01;10.699
2019-11-04;10.703
2019-11-05;10.694
2019-11-06;10.644
2019-11-07;10.625
2019-11-08;10.702
2019-11-11;10.708
2019-11-12;10.700
2019-11-13;10.735
2019-11-14;10.694
2019-11-15;10.651
2019-11-18;10.660
2019-11-19;10.647
2019-11-20;10.693
2019-11-21;10.656
2019-11-22;10.626
2019-11-25;10.615
2019-11-26;10.580
2019-11-27;10.558
2019-11-28;10.546
2019-11-29;10.499
2019-12-02;10.538
2019-12-03;10.565
2019-12-04;10.552
2019-12-05;10.541
2019-12-06;10.518
2019-12-09;10.543
2019-12-10;10.556
2019-12-11;10.459
2019-12-12;10.449
2019-12-13;10.449
2019-12-16;10.421
2019-12-17;10.471
2019-12-18;10.448
2019-12-19;10.478
2019-12-20;10.434
2019-12-23;10.447
2019-12-24;10.455
2019-12-27;10.436
2019-12-30;10.440
2019-12-31;10.446
2020-01-02;10.472
2020-01-03;10.485
2020-01-06;10.530
2020-01-07;10.542
2020-01-08;10.510
2020-01-09;10.533
2020-01-10;10.551
2020-01-13;10.559
2020-01-14;10.524
2020-01-15;10.559
2020-01-16;10.567
2020-01-17;10.545
2020-01-20;10.554
2020-01-21;10.552
2020-01-22;10.552
2020-01-23;10.547
2020-01-24;10.536
2020-01-27;10.579
2020-01-28;10.599
2020-01-29;10.575
2020-01-30;10.639
2020-01-31;10.676
2020-02-03;10.680
2020-02-04;10.627
2020-02-05;10.545
2020-02-06;10.555
2020-02-07;10.545
2020-02-10;10.572
2020-02-11;10.537
2020-02-12;10.496
2020-02-13;10.482
2020-02-14;10.508
2020-02-17;10.532
2020-02-18;10.549
2020-02-19;10.574
2020-02-20;10.598
2020-02-21;10.569
2020-02-24;10.583
2020-02-25;10.568
2020-02-26;10.581
2020-02-27;10.575
2020-02-28;10.673
2020-03-02;10.606
2020-03-03;10.559
2020-03-04;10.555
2020-03-05;10.591
2020-03-06;10.614
2020-03-09;10.720
2020-03-10;10.801
2020-03-11;10.723
2020-03-12;10.894
2020-03-13;10.845
2020-03-16;10.899
2020-03-17;10.959
2020-03-18;11.022
2020-03-19;11.152
2020-03-20;11.059
2020-03-23;11.071
2020-03-24;11.088
2020-03-25;10.963
2020-03-26;11.007
2020-03-27;11.015
2020-03-30;11.037
2020-03-31;11.061
2020-04-01;10.936
2020-04-02;10.926
2020-04-03;10.952
2020-04-06;10.978
2020-04-07;10.878
2020-04-08;10.938
2020-04-09;10.945
2020-04-14;10.915
2020-04-15;10.932
2020-04-16;10.889
2020-04-17;10.854
2020-04-20;10.862
2020-04-21;10.954
2020-04-22;10.942
2020-04-23;10.888
2020-04-24;10.872
2020-04-27;10.874
2020-04-28;10.748
2020-04-29;10.733
2020-04-30;10.663
2020-05-04;10.811
2020-05-05;10.698
2020-05-06;10.627
2020-05-07;10.620
2020-05-08;10.587
2020-05-11;10.599
2020-05-12;10.596
2020-05-13;10.584
2020-05-14;10.641
2020-05-15;10.669
2020-05-18;10.610
2020-05-19;10.568
2020-05-20;10.556
2020-05-21;10.530
2020-05-22;10.537
2020-05-25;10.549
2020-05-26;10.556
2020-05-27;10.560
2020-05-28;10.548
2020-05-29;10.487
2020-06-01;10.463
2020-06-02;10.452
2020-06-03;10.458
2020-06-04;10.417
2020-06-05;10.425
2020-06-08;10.397
2020-06-09;10.418
2020-06-10;10.460
2020-06-11;10.501
2020-06-12;10.510
2020-06-15;10.539
2020-06-16;10.513
2020-06-17;10.512
2020-06-18;10.552
2020-06-19;10.567
2020-06-22;10.552
2020-06-23;10.517
2020-06-24;10.514
2020-06-25;10.486
2020-06-26;10.477
